    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
206 ,7669156975671424 ,https://narvar.com              ,      206 ,True     ,      1 ,No interaction ,No interaction ,      13 ,      12 ,       1
207 ,5432217819686785 ,https://ets.org                 ,      207 ,True     ,      1 ,No interaction ,No interaction ,      26 ,      16 ,       1
208 ,2610853095441536 ,https://health.com              ,      208 ,True     ,      0 ,No interaction ,No interaction ,      25 ,     134 ,     119
209 ,8241307387157714 ,https://ons.gov.uk              ,      209 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
210 ,2615433322008858 ,https://rioseo.com              ,      210 ,True     ,      1 ,No interaction ,No interaction ,      19 ,       9 ,       1
211 ,2049789559968390 ,https://liveperson.net          ,      211 ,False    ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
212 ,3476124143593024 ,https://complex.com             ,      212 ,False    ,      0 ,No interaction ,No interaction ,      26 ,     252 ,     209
213 ,7939786910139465 ,https://bhg.com                 ,      213 ,True     ,      0 ,No interaction ,No interaction ,      33 ,      52 ,      36
214 ,7950362081552487 ,https://macworld.com            ,      214 ,True     ,      0 ,No interaction ,No interaction ,      40 ,      83 ,      70
215 ,2861649705626021 ,https://thebalancecareers.com   ,      215 ,True     ,      0 ,No interaction ,No interaction ,       0 ,     157 ,     121
216 ,6777799169329491 ,https://geotrust.com            ,      216 ,True     ,      1 ,No interaction ,No interaction ,      24 ,      12 ,       4
217 ,2735614397860497 ,https://mariadb.org             ,      217 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       3 ,       0
218 ,8778411193812570 ,https://rte.ie                  ,      218 ,True     ,      0 ,No interaction ,No interaction ,       4 ,       0 ,       0
219 ,3857068111226679 ,https://sabre.com               ,      219 ,True     ,      1 ,No interaction ,No interaction ,      26 ,      21 ,      11
220 ,6778041251123263 ,https://truecaller.com          ,      220 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       0 ,       0
221 ,4626735957796875 ,https://americanbar.org         ,      221 ,True     ,      1 ,No interaction ,No interaction ,      37 ,      39 ,      26
222 ,7784840904186012 ,https://myfonts.com             ,      222 ,True     ,      1 ,No interaction ,No interaction ,      49 ,      30 ,      16
223 ,7054951608851338 ,https://gulfnews.com            ,      223 ,False    ,      0 ,No interaction ,No interaction ,      45 ,     183 ,     157
224 ,7997889726269547 ,https://tfl.gov.uk              ,      224 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       4 ,       4
225 ,7045620185292381 ,https://forrester.com           ,      225 ,True     ,      1 ,No interaction ,No interaction ,      27 ,       0 ,       0
